sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score,area_room_ratio
sector 95,flat,the roselia 2,0.45,6475.0,695.0,Built Up area: 695 (64.57 sq.m.)Carpet area: 595 sq.ft. (55.28 sq.m.),2,2,2,19.0,North,Undefined,,695.0,595.0,0,0,0,0,0,1,0,347.5
sector 78,flat,umang monsoon breeze,1.2,6494.0,1848.0,Super Built up area 2250(209.03 sq.m.)Carpet area: 1848 sq.ft. (171.68 sq.m.),3,3,2,8.0,Na,Moderately New Property,2250.0,,1848.0,0,0,0,1,0,2,8,616.0
manesar,flat,hsiidc sidco aravali,0.91,3516.0,2588.0,Super Built up area 2588(240.43 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.),3,3,3+,8.0,East,Moderately New Property,2588.0,1900.0,,1,0,0,0,0,1,23,862.6666666666666
sector 108,flat,sobha city,3.35,13267.0,2525.0,Super Built up area 2072.9(192.58 sq.m.),3,4,2,19.0,Na,New Property,2072.9,,,0,0,0,0,0,1,102,841.6666666666666
sector 108,flat,sobha city,1.9,13758.0,1381.0,Super Built up area 1381(128.3 sq.m.),2,2,2,8.0,East,Relatively new property,1381.0,,,0,0,0,0,0,1,85,690.5
sector 65,flat,m3m heights,2.15,15003.0,1433.0,Built Up area: 1433 (133.13 sq.m.),2,2,3+,28.0,East,Undefined,,1433.0,,0,0,0,0,0,1,48,716.5
sector 86,flat,dlf new town heights,1.4,5942.0,2356.0,Super Built up area 2356(218.88 sq.m.),4,4,3+,20.0,South-East,Relatively new property,2356.0,,,1,0,0,1,0,1,65,589.0
sector 3,house,independent,0.37,7916.0,467.41,Built Up area: 480 (44.59 sq.m.),1,1,1,1.0,Na,Relatively new property,,480.0,,0,0,0,0,0,1,0,467.41
sector 79,flat,godrej,1.29,8206.0,1572.0,Super Built up area 1572(146.04 sq.m.),2,2,3,4.0,Na,New Property,1572.0,,,0,0,0,0,0,1,0,786.0
sector 43,house,independent,7.85,29074.0,2700.01,Plot area 300(250.84 sq.m.),9,9,3+,3.0,West,Relatively new property,,2700.0,,1,1,1,1,0,2,49,300.00111111111113
sector 45,house,independent,8.5,26235.0,3239.95,Plot area 360(301.01 sq.m.),5,4,2,1.0,North-East,Moderately New Property,,3240.0,,1,0,0,1,0,0,49,647.99
sector 95,flat,ramsons kshitij,0.22,6471.0,340.0,Super Built up area 340(31.59 sq.m.),1,1,1,2.0,Na,New Property,340.0,,,0,0,0,0,0,1,0,340.0
sector 62,flat,pioneer araya,8.35,19514.0,4279.0,Super Built up area 4279(397.53 sq.m.),4,6,3,16.0,East,Relatively new property,4279.0,,,1,0,0,1,0,1,153,1069.75
sector 54,flat,dlf park place,6.75,24963.0,2704.0,Super Built up area 2704(251.21 sq.m.)Carpet area: 1534 sq.ft. (142.51 sq.m.),4,4,2,8.0,North,Moderately New Property,2704.0,,1534.0,1,0,0,0,0,2,135,676.0
sector 72,flat,tata primanti,6.5,15294.0,4250.0,Super Built up area 4250(394.84 sq.m.),4,4,3+,0.0,East,Relatively new property,4250.0,,,1,1,0,1,0,1,67,1062.5
gwal pahari,flat,.,7.0,10999.0,6364.0,Super Built up area 6000(557.42 sq.m.),4,4,3+,6.0,South-West,Relatively new property,6000.0,,,1,0,0,0,0,1,52,1591.0
sector 4,house,independent,1.1,11111.0,990.01,Built Up area: 990 (91.97 sq.m.),3,4,1,2.0,North,Undefined,,990.0,,0,0,0,0,0,1,0,330.00333333333333
sector 61,flat,smart world orchard,2.55,15644.0,1630.0,Carpet area: 1630 (151.43 sq.m.),3,3,2,4.0,Na,New Property,,,1630.0,0,0,1,0,0,1,30,543.3333333333334
sector 85,flat,ss the leaf,1.75,7267.0,2408.0,Super Built up area 2408(223.71 sq.m.),3,4,3,8.0,North,Relatively new property,2408.0,,,1,0,0,0,0,1,49,802.6666666666666
sector 4,house,independent,0.58,9619.0,603.0,Plot area 67(6.22 sq.m.),2,2,1,2.0,West,Moderately New Property,,67.0,,0,0,1,1,0,1,7,301.5
sector 52,house,ardee city,5.5,20370.0,2700.0,Plot area 300(27.87 sq.m.),9,9,3+,3.0,South,Moderately New Property,,300.0,,1,0,1,1,0,0,26,300.0
sector 3,flat,godrej habitat,1.2,8310.0,1444.0,Super Built up area 1444(134.15 sq.m.),2,2,3,0.0,Na,Under Construction,1444.0,,,0,0,0,0,0,1,60,722.0
sector 109,house,international city by sobha phase 2,12.5,26667.0,4687.44,Plot area 500(418.06 sq.m.),5,6,3,3.0,East,Relatively new property,,4500.0,,1,1,0,1,1,1,63,937.4879999999999
sector 4,flat,huda ashok vihar phase,0.43,6615.0,650.0,Carpet area: 650 (60.39 sq.m.),2,2,1,2.0,Na,Relatively new property,,,650.0,0,0,0,0,0,1,7,325.0
sector 85,flat,ss the leaf,2.2,11179.0,1968.0,Super Built up area 2812(261.24 sq.m.)Built Up area: 2390 sq.ft. (222.04 sq.m.)Carpet area: 1968 sq.ft. (182.83 sq.m.),4,5,3+,4.0,West,Relatively new property,2812.0,2390.0,1968.0,1,0,0,1,0,1,174,492.0
sector 82,flat,mapsko royale ville,1.15,6425.0,1790.0,Super Built up area 1790(166.3 sq.m.),3,4,2,15.0,North-East,Relatively new property,1790.0,,,1,0,0,1,0,0,104,596.6666666666666
sector 61,flat,smart world orchard,1.47,12783.0,1150.0,Carpet area: 1150 (106.84 sq.m.),2,2,2,4.0,North-East,New Property,,,1150.0,0,1,0,1,0,1,53,575.0
sector 104,flat,puri emerald bay,1.5,9677.0,1550.0,Super Built up area 1550(144 sq.m.),2,2,2,7.0,Na,Under Construction,1550.0,,,0,0,1,0,0,1,43,775.0
sector 69,flat,tulip violet,1.4,8872.0,1578.0,Super Built up area 1578(146.6 sq.m.),3,3,2,11.0,North,Relatively new property,1578.0,,,0,0,0,1,0,1,126,526.0
sector 33,flat,central park flower valley aqua front towers,2.1,11738.0,1789.0,Super Built up area 1789(166.2 sq.m.),3,3,2,6.0,Na,Under Construction,1789.0,,,0,0,0,0,0,1,24,596.3333333333334
sector 43,house,independent,27.5,24366.0,11286.22,Plot area 1254(1048.5 sq.m.),6,7,3+,3.0,North-East,Relatively new property,,11286.0,,1,1,1,1,0,0,42,1881.0366666666666
sector 28,flat,suncity platinum towers,6.0,22346.0,2685.0,Carpet area: 2685 (249.44 sq.m.),3,3,2,8.0,South-East,Moderately New Property,,,2685.0,1,0,0,0,0,1,31,895.0
sector 41,house,independent,11.0,33951.0,3239.96,Plot area 360(301.01 sq.m.),4,4,2,3.0,East,New Property,,3240.0,,1,1,0,1,0,1,35,809.99
sector 70,flat,unitech vistas,0.99,6326.0,1565.0,Super Built up area 1565(145.39 sq.m.),3,4,2,11.0,Na,Under Construction,1565.0,,,0,0,0,0,0,1,0,521.6666666666666
sector 77,flat,umang winter hills,0.99,7857.0,1260.0,Super Built up area 1260(117.06 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,2,1.0,North,Relatively new property,1260.0,,1000.0,0,0,0,0,0,1,97,630.0
sector 33,flat,central park flower valley cerise floors,1.3,10744.0,1210.0,Super Built up area 1210(112.41 sq.m.),2,2,2,3.0,North,New Property,1210.0,,,0,1,0,0,0,1,22,605.0
gwal pahari,flat,nul,0.56,6054.0,925.0,Carpet area: 925 (85.94 sq.m.),2,2,1,11.0,Na,Old Property,,,925.0,0,0,0,0,0,0,0,462.5
sector 110,flat,indiabulls enigma,4.25,10954.0,3880.0,Super Built up area 3880(360.46 sq.m.),5,5,3+,4.0,East,Relatively new property,3880.0,,,1,0,0,0,0,1,101,776.0
sector 4,house,independent,2.3,17014.0,1351.83,Plot area 160(133.78 sq.m.),4,4,3,2.0,East,Old Property,,160.0,,0,0,0,0,0,0,15,337.9575
sector 67,flat,m3m merlin,2.9,14167.0,2047.0,Super Built up area 2047(190.17 sq.m.),3,3,3,0.0,West,Relatively new property,2047.0,,,0,0,1,0,0,0,49,682.3333333333334
sector 43,flat,ansal maple crescent,1.35,10037.0,1345.0,Super Built up area 1345(124.95 sq.m.)Built Up area: 1320 sq.ft. (122.63 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,3,3,2.0,South,Old Property,1345.0,1320.0,1300.0,0,0,1,0,0,0,93,448.3333333333333
sector 37d,flat,signature global city 37d ph 2,1.1,8148.0,1350.0,Carpet area: 1350 (125.42 sq.m.),3,3,1,2.0,North,Under Construction,,,1350.0,0,0,0,1,0,1,30,450.0
manesar,flat,hsiidc sidco shivalik apartments,0.73,3559.0,2051.0,Super Built up area 2050(190.45 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3+,2.0,South,Moderately New Property,2050.0,,1400.0,1,0,0,0,0,1,80,683.6666666666666
sector 109,flat,ats kocoon,2.22,10597.0,2095.0,Super Built up area 2095(194.63 sq.m.)Built Up area: 1860 sq.ft. (172.8 sq.m.),3,4,3,14.0,East,Relatively new property,2095.0,1860.0,,1,1,0,1,1,1,45,698.3333333333334
sector 109,house,international city by sobha phase 2,10.0,27778.0,3599.97,Plot area 400(334.45 sq.m.),4,5,3+,2.0,East,New Property,,3600.0,,1,1,1,1,0,0,49,899.9925
sector 17,house,independent,3.0,11111.0,2700.03,Carpet area: 2700 (250.84 sq.m.),4,4,0,1.0,Na,Undefined,,,2700.0,0,0,0,0,0,1,0,675.0075
sector 37d,flat,signature global city,0.68,11724.0,580.0,Carpet area: 580 (53.88 sq.m.),2,2,3,9.0,Na,New Property,,,580.0,0,0,1,0,0,1,58,290.0
sector 4,house,independent,3.25,14444.0,2250.07,Plot area 250(209.03 sq.m.),3,3,2,2.0,South-East,Old Property,,2250.0,,0,0,0,0,0,1,27,750.0233333333334
sector 84,flat,ss almeria,1.5,7500.0,2000.0,Super Built up area 2000(185.81 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3,3,3,2.0,Na,New Property,2000.0,,1700.0,1,0,0,0,0,1,108,666.6666666666666
sector 70,flat,unitech vistas,0.53,4801.0,1104.0,Super Built up area 1095(101.73 sq.m.),2,2,2,9.0,Na,Under Construction,1095.0,,,0,0,1,0,0,1,24,552.0
sector 102,flat,shapoorji pallonji joyville gurugram,2.04,14069.0,1450.0,Super Built up area 1852(172.06 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,3,3+,1.0,South,Relatively new property,1852.0,,1450.0,0,0,0,0,0,1,72,483.3333333333333
sohna road,flat,eldeco accolade,0.78,5420.0,1439.0,Super Built up area 1457(135.36 sq.m.),2,2,2,7.0,North,Relatively new property,1457.0,,,0,1,0,0,0,0,137,719.5
sector 79,flat,bestech altura,2.55,9533.0,2675.0,Built Up area: 2675 (248.52 sq.m.),4,5,2,4.0,East,New Property,,2675.0,,1,0,0,0,0,1,44,668.75
sector 43,house,independent,14.0,39886.0,3510.0,Plot area 390(326.09 sq.m.),9,9,3+,4.0,North,Moderately New Property,,3510.0,,1,0,0,0,0,1,7,390.0
sector 55,house,independent,3.55,24500.0,1448.98,Plot area 161(134.62 sq.m.),4,4,3+,2.0,Na,Old Property,,1449.0,,0,0,0,0,0,0,27,362.245
sector 84,flat,pivotal devaan,0.3,6667.0,450.0,Carpet area: 450 (41.81 sq.m.),1,1,1,14.0,Na,New Property,,,450.0,0,0,0,0,0,0,22,450.0
sector 48,house,vipul tatvam villa,8.2,25309.0,3239.95,Plot area 360(301.01 sq.m.),3,3,2,2.0,North,Moderately New Property,,3240.0,,1,1,0,1,0,2,160,1079.9833333333333
sector 105,house,independent,0.7,5833.0,1200.07,Built Up area: 1200 (111.48 sq.m.),3,2,2,1.0,Na,Undefined,,1200.0,,0,0,0,0,0,1,0,400.0233333333333
sector 109,flat,ats tourmaline,1.75,8140.0,2150.0,Super Built up area 2150(199.74 sq.m.),3,4,3+,9.0,North-East,Relatively new property,2150.0,,,1,0,0,0,0,1,94,716.6666666666666
sector 83,flat,vatika gurgaon,0.83,6667.0,1245.0,Super Built up area 1245(115.66 sq.m.)Built Up area: 1154 sq.ft. (107.21 sq.m.)Carpet area: 945 sq.ft. (87.79 sq.m.),2,2,2,12.0,North,Relatively new property,1245.0,1154.0,945.0,0,0,0,1,0,1,165,622.5
sector 4,house,not applicable,0.8,6088.0,1314.0,Plot area 146(13.56 sq.m.),5,4,3,3.0,Na,Under Construction,,146.0,,0,0,0,0,0,1,0,262.8
sector 55,house,independent,1.45,26852.0,540.0,Plot area 60(5.57 sq.m.),1,4,3+,4.0,East,Relatively new property,,60.0,,0,0,0,0,1,1,70,540.0
sector 50,house,unitech nirvana birch court,7.1,31481.0,2255.31,Plot area 240(22.3 sq.m.),3,3,3,1.0,East,Moderately New Property,,240.0,,1,0,0,0,0,1,49,751.77
sector 62,flat,emaar digihomes,2.45,16003.0,1531.0,Built Up area: 1200 (111.48 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,2,7.0,North-East,New Property,,1200.0,1000.0,0,1,0,0,0,2,174,765.5
sector 2,flat,rk tower,0.95,9596.0,990.0,Carpet area: 990 (91.97 sq.m.),2,2,1,1.0,South-East,Relatively new property,,,990.0,0,0,0,0,0,1,99,495.0
sector 72,flat,tata primanti,3.85,13253.0,2905.0,Super Built up area 2905(269.88 sq.m.),4,5,3+,13.0,North,Relatively new property,2905.0,,,1,0,0,0,0,0,174,726.25
sector 66,house,emaar mgf marbella,12.0,38095.0,3150.02,Plot area 350(292.64 sq.m.),5,6,3+,3.0,North-East,Relatively new property,,3150.0,,1,0,0,0,1,0,153,630.004
sector 50,house,unitech escape,12.0,37037.0,3240.0,Carpet area: 360 (301.01 sq.m.),5,6,3+,3.0,East,Undefined,,,360.0,0,0,0,0,0,1,66,648.0
sector 37d,flat,bptp terra,1.78,8124.0,2191.0,Super Built up area 2191(203.55 sq.m.),4,3,3,10.0,East,Relatively new property,2191.0,,,1,0,0,0,0,1,127,547.75
sector 39,flat,kw royal court,2.0,6250.0,3200.0,Carpet area: 3200 (297.29 sq.m.),5,4,3,9.0,East,Old Property,,,3200.0,1,0,0,0,0,2,49,640.0
sector 4,house,independent,0.5,9259.0,540.02,Plot area 540(50.17 sq.m.),2,3,2,3.0,West,Old Property,,540.0,,0,0,0,0,0,1,0,270.01
sector 104,flat,puri emerald bay,2.25,10465.0,2150.0,Super Built up area 2450(227.61 sq.m.)Carpet area: 2150 sq.ft. (199.74 sq.m.),3,4,3+,4.0,North,Relatively new property,2450.0,,2150.0,1,0,0,0,0,0,159,716.6666666666666
sector 69,flat,tulip violet,1.72,8731.0,1970.0,Super Built up area 1970(183.02 sq.m.),4,4,1,12.0,North-East,Relatively new property,1970.0,,,0,0,0,0,0,1,86,492.5
sector 107,flat,signature global solera,0.38,6333.0,600.0,Super Built up area 650(60.39 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),2,2,2,3.0,East,Relatively new property,650.0,,600.0,0,0,0,0,0,2,23,300.0
sector 65,flat,m3m golfestate,13.2,12000.0,11000.0,Carpet area: 11000 (1021.93 sq.m.),4,4,3,13.0,North,Moderately New Property,,,11000.0,1,0,0,0,0,1,60,2750.0
sector 37d,flat,signature global city 37d ph 2,1.36,8848.0,1537.0,Built Up area: 1535 (142.61 sq.m.),3,3,3,1.0,North-East,Under Construction,,1535.0,,0,0,1,1,0,1,37,512.3333333333334
sector 48,flat,parsvnath green ville,1.6,8377.0,1910.0,Super Built up area 1910(177.44 sq.m.)Built Up area: 1895 sq.ft. (176.05 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3,3,3+,8.0,North,Old Property,1910.0,1895.0,1800.0,0,0,1,0,0,0,49,636.6666666666666
sector 108,flat,sobha city,2.5,14611.0,1711.0,Super Built up area 1711(158.96 sq.m.)Built Up area: 1480 sq.ft. (137.5 sq.m.)Carpet area: 1111.44 sq.ft. (103.26 sq.m.),3,3,2,19.0,East,New Property,1711.0,1480.0,1111.44,0,0,0,0,0,1,166,570.3333333333334
sector 70,flat,shree vardhman victoria,1.5,7692.0,1950.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,7.0,South,Relatively new property,1950.0,,1161.0,1,0,0,0,0,0,174,650.0
sector 106,flat,paras dews,1.1,9735.0,1130.0,Super Built up area 1760(163.51 sq.m.)Built Up area: 1186 sq.ft. (110.18 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),3,4,3+,8.0,North-West,Relatively new property,1760.0,1186.0,1130.0,1,0,0,0,0,0,174,376.6666666666667
sector 12,house,mian wali,1.7,9444.0,1800.08,Plot area 1800(167.23 sq.m.),1,1,1,1.0,Na,Old Property,,1800.0,,1,0,0,0,0,1,7,1800.08
sector 69,flat,tulip violet,1.43,8888.0,1609.0,Super Built up area 1608(149.39 sq.m.),3,3,2,1.0,North-West,Relatively new property,1608.0,,,0,0,0,1,0,1,86,536.3333333333334
sector 81,flat,dlf the ultima,2.26,10762.0,2100.0,Super Built up area 2100(195.1 sq.m.),3,4,3+,17.0,West,New Property,2100.0,,,1,0,0,0,0,2,174,700.0
sector 83,flat,mapsko paradise,0.95,6300.0,1508.0,Carpet area: 1340 (124.49 sq.m.),3,3,3,1.0,Na,Moderately New Property,,,1340.0,0,0,0,0,0,1,0,502.6666666666667
sector 56,house,independent,4.0,26613.0,1503.02,Plot area 167(139.63 sq.m.),4,4,3+,2.0,Na,Relatively new property,,1503.0,,0,0,0,0,0,0,24,375.755
sector 67,flat,bestech park view spa next,2.35,12145.0,1935.0,Super Built up area 1935(179.77 sq.m.),3,4,3+,14.0,South-West,Moderately New Property,1935.0,,,1,0,0,0,0,0,156,645.0
sector 63,flat,dhoot time residency,3.0,18270.0,1642.0,Built Up area: 1642 (152.55 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,3,3+,14.0,Na,Relatively new property,,1642.0,1500.0,1,0,0,0,0,0,0,547.3333333333334
sector 2,flat,bestech park view residency,0.56,8629.0,649.0,Carpet area: 651 (60.48 sq.m.),1,1,2,6.0,South,Moderately New Property,,,651.0,0,0,0,0,0,1,77,649.0
sector 68,flat,m3m the marina,1.45,9615.0,1508.0,Super Built up area 1508(140.1 sq.m.),3,2,3+,9.0,Na,New Property,1508.0,,,0,0,0,0,0,1,0,502.6666666666667
sector 46,house,independent,5.5,23061.0,2384.98,Plot area 265(221.57 sq.m.),8,8,3+,3.0,Na,Moderately New Property,,2385.0,,0,1,1,0,0,0,32,298.1225
sector 103,flat,indiabulls centrum park,2.14,7443.0,2875.0,Super Built up area 2875(267.1 sq.m.)Carpet area: 2550 sq.ft. (236.9 sq.m.),4,6,3+,7.0,East,Relatively new property,2875.0,,2550.0,1,0,0,0,0,1,142,718.75
sector 109,flat,ats tourmaline,1.45,6744.0,2150.0,Super Built up area 2150(199.74 sq.m.)Built Up area: 1797 sq.ft. (166.95 sq.m.)Carpet area: 1660 sq.ft. (154.22 sq.m.),3,4,3+,4.0,North-West,Relatively new property,2150.0,1797.0,1660.0,1,0,0,0,0,1,71,716.6666666666666
sector 61,flat,smart world orchard,2.57,15767.0,1630.0,Carpet area: 1630 (151.43 sq.m.),3,3,2,3.0,North-East,Under Construction,,,1630.0,0,1,0,0,0,1,0,543.3333333333334
sector 102,flat,emaar imperial gardens,1.85,9136.0,2025.0,Carpet area: 2025 (188.13 sq.m.),3,3,3+,0.0,South-West,Relatively new property,,,2025.0,1,0,0,0,0,0,95,675.0
sector 104,flat,ats triumph,1.8,7860.0,2290.0,Carpet area: 2290 (212.75 sq.m.),3,4,3,14.0,Na,New Property,,,2290.0,0,0,0,0,0,1,60,763.3333333333334
sector 99a,flat,pareena coban residences,1.45,7261.0,1997.0,Super Built up area 1997(185.53 sq.m.),3,5,3,11.0,Na,Relatively new property,1997.0,,,1,0,1,0,0,0,49,665.6666666666666
sector 37d,flat,bptp terra,1.55,8559.0,1811.0,Super Built up area 1811(168.25 sq.m.),3,3,3+,11.0,South,Relatively new property,1811.0,,,0,0,0,0,0,1,79,603.6666666666666
sector 85,flat,ss the leaf,2.1,8721.0,2408.0,Super Built up area 2408(223.71 sq.m.)Carpet area: 1685 sq.ft. (156.54 sq.m.),3,4,3+,6.0,North,Relatively new property,2408.0,,1685.0,1,0,0,0,0,1,156,802.6666666666666
sector 57,house,independent,8.31,24171.0,3438.0,Plot area 382(319.4 sq.m.),5,6,3+,4.0,North-East,Old Property,,3438.0,,1,1,0,1,1,1,34,687.6
sector 102,flat,shapoorji pallonji joyville gurugram,1.75,9449.0,1852.0,Super Built up area 1852(172.06 sq.m.)Carpet area: 1128 sq.ft. (104.79 sq.m.),3,3,3,10.0,West,Relatively new property,1852.0,,1128.0,1,1,1,1,0,1,49,617.3333333333334
sector 92,flat,sare petioles,1.3,6373.0,2040.0,Built Up area: 2040 (189.52 sq.m.),4,4,0,7.0,Na,Undefined,,2040.0,,0,0,0,0,0,1,0,510.0
sector 83,flat,mapsko paradise,0.75,5597.0,1340.0,Super Built up area 1340(124.49 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),3,3,3,10.0,North,New Property,1340.0,,1000.0,0,0,1,0,0,0,49,446.6666666666667
sector 92,flat,sare crescent parc,0.9,4259.0,2113.0,Super Built up area 1995(185.34 sq.m.),4,5,3+,3.0,Na,Relatively new property,1995.0,,,1,0,0,0,0,1,0,528.25
sector 22,flat,ambience creacions,2.55,13710.0,1860.0,Super Built up area 1860(172.8 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,5.0,North-East,Relatively new property,1860.0,1600.0,1400.0,0,0,0,0,0,2,49,620.0
sector 57,house,independent,3.49,20197.0,1727.98,Plot area 192(160.54 sq.m.),4,4,2,3.0,South-East,Moderately New Property,,1728.0,,1,1,0,1,0,0,49,431.995
sector 49,house,eros rosewood city,4.05,20769.0,1950.02,Plot area 1710(158.86 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1950 sq.ft. (181.16 sq.m.),3,3,3,2.0,East,Moderately New Property,,2000.0,1950.0,1,0,0,0,1,1,46,650.0066666666667
sector 68,flat,supertech hues,0.9,7627.0,1180.0,Carpet area: 1180 (109.63 sq.m.),2,2,2,1.0,East,New Property,,,1180.0,0,0,0,0,0,1,44,590.0
sector 67,flat,ireo victory valley,4.55,14537.0,3130.0,Super Built up area 3130(290.79 sq.m.),4,4,3+,19.0,South,Relatively new property,3130.0,,,1,0,0,0,0,0,156,782.5
sector 52,house,ardee city,2.25,16071.0,1400.04,Plot area 2160(200.67 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,4.0,South-East,New Property,,1800.0,1400.0,1,0,0,0,0,0,22,466.68
sector 103,flat,indiabulls centrum park,1.32,7788.0,1695.0,Super Built up area 1695(157.47 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3,3,3+,6.0,North-East,Relatively new property,1695.0,1300.0,1200.0,0,1,0,0,0,1,49,565.0
sector 68,flat,supertech new soft launch,0.84,7119.0,1180.0,Built Up area: 1180 (109.63 sq.m.),2,2,2,7.0,East,Undefined,,1180.0,,0,0,0,0,0,1,0,590.0
sector 55,flat,siddhi vinayak apartments,1.44,9600.0,1500.0,Super Built up area 1850(171.87 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,3,2,6.0,South,Moderately New Property,1850.0,1700.0,1500.0,0,0,1,0,0,0,47,500.0
sector 33,flat,unitech the residences,1.35,8738.0,1545.0,Super Built up area 1545(143.54 sq.m.),3,4,2,8.0,North-East,Moderately New Property,1545.0,,,1,0,0,0,0,1,49,515.0
sector 26,house,independent,20.0,44444.0,4500.05,Plot area 500(418.06 sq.m.),5,7,3+,3.0,West,Relatively new property,,4500.0,,1,0,0,1,0,2,97,900.01
sector 65,flat,emaar mgf emerald floors premier,2.9,14684.0,1975.0,Super Built up area 1975(183.48 sq.m.),4,4,3+,4.0,North-East,Relatively new property,1975.0,,,1,1,0,0,0,0,152,493.75
sector 53,flat,parsvnath exotica,4.8,14679.0,3270.0,Built Up area: 2895 (268.95 sq.m.),3,4,3+,12.0,North-West,New Property,,2895.0,,0,0,0,0,0,1,69,1090.0
sector 48,flat,central park 2 bellevue,2.75,10755.0,2557.0,Super Built up area 2557(237.55 sq.m.)Carpet area: 2550 sq.ft. (236.9 sq.m.),3,4,3+,3.0,Na,Moderately New Property,2557.0,,2550.0,0,0,0,0,0,1,32,852.3333333333334
sector 102,flat,shapoorji pallonji joyville gurugram,1.4,10378.0,1349.0,Super Built up area 1349(125.33 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,2,11.0,North-East,New Property,1349.0,,1000.0,0,0,0,0,0,0,49,674.5
sector 81,flat,signature global synera,0.39,6500.0,600.0,Carpet area: 600 (55.74 sq.m.),2,2,2,6.0,South-West,Relatively new property,,,600.0,0,0,0,0,0,1,37,300.0
sector 43,flat,dlf the grove,6.0,25000.0,2400.0,Carpet area: 2400 (222.97 sq.m.),4,4,2,1.0,South-West,Under Construction,,,2400.0,1,0,0,0,0,0,49,600.0
sohna road,flat,signature global park,0.67,5537.0,1210.0,Super Built up area 1210(112.41 sq.m.),2,2,3,4.0,North-East,Relatively new property,1210.0,,,0,0,0,1,0,1,127,605.0
sector 4,house,independent,0.67,9795.0,684.0,Plot area 76(7.06 sq.m.),3,3,2,2.0,South,Relatively new property,,76.0,,0,0,1,0,0,1,7,228.0
sector 68,flat,pareena mi casa,1.15,9237.0,1245.0,Super Built up area 1245(115.66 sq.m.),2,2,3,8.0,East,New Property,1245.0,,,0,0,0,0,0,1,49,622.5
sohna road,flat,eldeco accolade,0.71,5608.0,1266.0,Super Built up area 1275(118.45 sq.m.),2,2,3,10.0,North-East,Relatively new property,1275.0,,,0,0,0,0,0,1,159,633.0
sector 89,flat,smart world gems,0.95,8903.0,1067.0,Super Built up area 1067(99.13 sq.m.)Carpet area: 578 sq.ft. (53.7 sq.m.),2,2,2,1.0,East,Under Construction,1067.0,,578.0,0,1,0,0,0,1,122,533.5
sector 76,flat,godrej icon,1.75,14894.0,1175.0,Carpet area: 1175.11,3,3,3+,6.0,Na,New Property,,,1175.11,0,0,0,0,0,1,55,391.6666666666667
sector 92,flat,sare homes,1.19,5219.0,2280.0,Carpet area: 2280 (211.82 sq.m.),4,3,3,14.0,North,Relatively new property,,,2280.0,1,0,0,0,0,1,100,570.0
sector 90,flat,dlf new town heights,1.42,4865.0,2919.0,Super Built up area 2364(219.62 sq.m.),4,4,3+,8.0,East,Moderately New Property,2364.0,,,1,0,0,0,1,1,31,729.75
sector 26,house,independent,4.5,33333.0,1350.01,Plot area 150(125.42 sq.m.),5,5,3+,2.0,Na,Old Property,,1350.0,,0,0,0,0,0,1,7,270.002
sector 50,house,unitech aspen greens,12.0,37037.0,3240.0,Plot area 360(301.01 sq.m.),3,4,2,1.0,East,Moderately New Property,,3240.0,,1,1,0,0,0,0,101,1080.0
sector 92,house,ansal heights,2.75,9793.0,2808.13,Plot area 312(260.87 sq.m.)Built Up area: 5000 sq.yards (4180.64 sq.m.),4,4,3+,3.0,Na,Relatively new property,,5000.0,,0,1,0,1,0,1,0,702.0325
sohna road,flat,eldeco accolade,0.95,6177.0,1538.0,Super Built up area 1457(135.36 sq.m.)Built Up area: 1050 sq.ft. (97.55 sq.m.)Carpet area: 849 sq.ft. (78.87 sq.m.),2,2,3+,8.0,South,Under Construction,1457.0,1050.0,849.0,0,1,1,0,0,1,72,769.0
